,M,Rate,E,T,I,barE,th,E_th,E_T,E_M
2011-08-12,0.11111111111111116,2.24,9.259522811788656e-05,0.00526166928318772,-0.04273504273504258,0.029903900349713276,0.0,0.0,4.872054675576436e-07,1.0288358679765178e-05
2011-08-15,0.0,2.29,0.0174026187545675,0.021784622088531824,0.02232142857142838,0.029867154939361543,0.0,0.0,0.00037910947291904933,0.0
2011-08-17,0.0,2.17,0.006277816295347627,-0.008800384952866946,-0.05240174672489084,0.029830409529009765,0.0,0.0,-5.5247200062440174e-05,0.0
2011-08-18,0.0,2.08,-0.03264015063432624,-0.0445937143129993,-0.041474654377880116,0.02979366411865799,0.0,-0.0,0.0014555455525204072,-0.0
2011-08-19,0.0,2.07,0.015235114640230085,-0.015008981502439234,-0.004807692307692402,0.029756918708306213,0.0,0.0,-0.00022866355382275452,0.0
2011-08-22,0.0,2.1,-0.0023936855980115634,0.00025804116011829414,0.01449275362318847,0.029720173297954434,0.0,-0.0,-6.176694086693565e-07,-0.0
2011-08-23,-0.11111111111111105,2.15,0.00876704450803989,0.034284877594586316,0.023809523809523725,0.0296834278876027,0.0,0.0,0.00030057704782443783,-0.0009741160564488761
2011-08-24,0.0,2.29,0.007684603293810266,0.013119972745138542,0.06511627906976747,0.029646682477250923,0.0,0.0,0.00010082178577199256,0.0
2011-08-26,0.125,2.19,0.010985011962876712,-0.0006792856440188677,-0.04366812227074235,0.02960993706689915,0.0,0.0,-7.461960925757673e-06,0.001373126495359589
2011-08-29,0.0,2.28,0.004669510059414295,0.028280001568408375,0.041095890410958846,0.02957319165654737,0.0,0.0,0.00013205375180393495,0.0
2011-08-30,-0.11111111111111105,2.19,0.01912763176782306,0.002347024984931334,-0.039473684210526216,0.029554134974803522,0.0,0.0,4.4893029661647025e-05,-0.0021252924186470055
2011-08-31,0.0,2.23,0.007279440935724413,0.004921982065451136,0.0182648401826484,0.029535078293059694,0.0,0.0,3.5829277732146396e-05,0.0
2011-09-01,0.0,2.15,-0.004875903927155312,-0.01187143263889856,-0.0358744394618834,0.02951602161131584,0.0,-0.0,5.788396502496523e-05,-0.0
2011-09-02,0.0,2.02,-0.017149348751176463,-0.025281938303220453,-0.0604651162790697,0.029496964929571993,0.0,-0.0,0.00043356877706765404,-0.0
2011-09-06,0.125,1.98,0.004985289321333575,-0.007436289416773878,-0.01980198019801982,0.029477908247828144,0.0,0.0,-3.707205421978869e-05,0.0006231611651666968
2011-09-07,0.0,2.05,0.02577733792047665,0.028646463529026667,0.03535353535353525,0.029458851566084295,0.0,0.0,0.0007384295706143305,0.0
2011-09-08,0.0,2.0,-0.01079447294523217,-0.010612179635699603,-0.024390243902438935,0.029439794884340467,0.0,-0.0,0.00011455288596750315,-0.0
2011-09-09,0.0,1.93,-0.015539121442774029,-0.026705492278710663,-0.03500000000000003,0.029420738202596615,0.0,-0.0,0.00041497988770794914,-0.0
2011-09-12,0.0,1.94,-0.004611125818441475,0.006965716710316983,0.005181347150259086,0.029401681520852766,0.0,-0.0,-3.2119796166891856e-05,-0.0
2011-09-13,0.0,2.0,-0.0032071323862054024,0.00912006281484623,0.030927835051546504,0.029382624839108917,0.0,-0.0,-2.924924881772095e-05,-0.0
2011-09-14,-0.11111111111111105,2.03,0.004558067200040039,0.013479804803234297,0.014999999999999902,0.029339733468175058,0.0,0.0,6.144185613656442e-05,-0.0005064519111155596
2011-09-15,0.125,2.09,0.02615653711832744,0.017187073659429952,0.029556650246305383,0.029296842097241246,0.0,0.0,0.00044955433012830735,0.00326956713979093
2011-09-16,0.0,2.08,-0.02705041803579933,0.0057066970727697175,-0.004784688995215225,0.029253950726307383,0.0,-0.0,-0.0001543685414220932,-0.0
2011-09-19,0.0,1.97,-0.02744610405944703,-0.0098025870260805,-0.05288461538461542,0.029211059355373523,0.0,-0.0,0.0002690428235695908,-0.0
2011-09-20,0.0,1.95,0.01282757498358289,-0.0016610054537223862,-0.010152284263959421,0.029168167984439664,0.0,0.0,-2.130667200576403e-05,0.0
2011-09-21,-0.11111111111111105,1.88,-0.0016283725681650596,-0.02939044252863232,-0.03589743589743588,0.029125276613505804,0.0,-0.0,4.78585903798566e-05,0.0001809302853516732
2011-09-22,0.0,1.72,-0.04412833200116195,-0.031883121516435575,-0.08510638297872342,0.029082385242571993,0.0,-0.0,0.0014069489715106591,-0.0
2011-09-23,0.0,1.84,-0.01440891718501447,0.006082009597382809,0.06976744186046524,0.02903949387163813,0.0,-0.0,-8.763517260715209e-05,-0.0
2011-09-27,0.0,2.0,0.030489546328043016,0.03427395381236753,0.08695652173913038,0.029401681520852766,1.0,0.030489546328043016,0.0010449973026073864,0.0
2011-09-28,0.0,2.03,-0.03108084608946171,-0.020691134941917988,0.014999999999999902,0.029382624839108917,0.0,-0.0,0.0006430979805460362,-0.0
2011-09-29,0.0,1.99,0.0013486118191017304,0.008114229792425487,-0.01970443349753681,0.029339733468175058,0.0,0.0,1.0942946200972393e-05,0.0
2011-09-30,-0.25,1.92,-0.011447761875396978,-0.024974129488995245,-0.035175879396984966,0.029296842097241246,0.0,-0.0,0.0002858978874353472,0.0028619404688492445
2011-10-03,0.3333333333333335,1.8,-0.010218013136724213,-0.0284510281118181,-0.06249999999999989,0.029253950726307383,0.0,-0.0,0.0002907129789998672,-0.0034060043789080727
2011-10-04,-0.12499999999999989,1.81,-0.01887718204923694,0.022488442948566112,0.005555555555555536,0.029211059355373523,0.0,-0.0,-0.00042451843154396124,0.0023596477561546154
2011-10-06,0.0,2.01,0.05952502642458635,0.036496304384800116,0.11049723756906071,0.029477908247828144,1.0,0.05952502642458635,0.0021724434829049734,0.0
2011-10-07,0.0,2.1,0.0014186502574677906,-0.008163308930517088,0.044776119402985204,0.029458851566084295,0.0,0.0,-1.1580880316067181e-05,0.0
2011-10-11,0.0,2.18,0.016337828899040785,0.0005440035535435594,0.03809523809523818,0.029439794884340467,0.0,0.0,8.887836978264846e-06,0.0
2011-10-12,0.0,2.24,0.005689490059773483,0.009794704112697561,0.02752293577981657,0.029420738202596615,0.0,0.0,5.5726871687615225e-05,0.0
2011-10-13,0.0,2.19,-0.0022449712520633547,-0.002973672247100878,-0.022321428571428714,0.029401681520852766,0.0,-0.0,6.675808707800107e-06,-0.0
2011-10-14,0.0,2.26,0.032130318380104717,0.01738025794738407,0.031963470319634535,0.02957319165654737,1.0,0.032130318380104717,0.0005584332213777954,0.0
2011-10-17,0.0,2.18,-0.039413992248327645,-0.019369883187983272,-0.03539823008849541,0.029554134974803522,0.0,-0.0,0.0007634444258221846,-0.0
2011-10-18,0.0,2.19,0.008986908413748163,0.020418716445174567,0.004587155963302614,0.029535078293059694,0.0,0.0,0.00018350113461907728,0.0
2011-10-19,0.0,2.18,-0.024831327920295743,-0.01264913736003248,-0.004566210045662045,0.02951602161131584,0.0,-0.0,0.0003140948776958305,-0.0
2011-10-20,0.0,2.2,0.012639567804194174,0.0045541787147385104,0.00917431192660545,0.029496964929571993,0.0,0.0,5.756285065735528e-05,0.0
2011-10-21,0.0,2.23,-0.001822199104811184,0.01880876515031682,0.013636363636363447,0.029477908247828144,0.0,-0.0,-3.42733150195111e-05,-0.0
2011-10-24,0.0,2.25,0.017250816281167314,0.012872958939026846,0.008968609865470878,0.029458851566084295,0.0,0.0,0.00022206904965216262,0.0
2011-10-25,0.0,2.14,-0.00475548491529354,-0.02004472508361621,-0.04888888888888887,0.029439794884340467,0.0,-0.0,9.532238776634293e-05,-0.0
2011-10-26,0.1428571428571428,2.23,-0.018121119185148693,0.010536553156824224,0.04205607476635498,0.029420738202596615,0.0,-0.0,-0.00019093413555546648,-0.002588731312164098
2011-10-27,-0.12499999999999989,2.42,0.029106583990026857,0.034291437858544604,0.08520179372197312,0.029401681520852766,0.0,0.0,0.0009981066161685152,-0.003638322998753354
2011-10-28,0.0,2.34,-0.019361153939096876,0.0003892292585989665,-0.03305785123966942,0.029382624839108917,0.0,-0.0,-7.535927593335137e-06,-0.0
2011-10-31,0.2857142857142856,2.17,-0.0031844790451616145,-0.02473750308360323,-0.07264957264957261,0.029355020754200704,0.0,-0.0,7.877606019935531e-05,-0.0009098511557604609
2011-11-01,-0.11111111111111105,2.01,-0.0001825177392479338,-0.027942247001422227,-0.07373271889400923,0.029327416669292523,0.0,-0.0,5.099955752206942e-06,2.0279748805325966e-05
2011-11-02,0.0,2.03,-0.0018258588275068544,0.016104667765514558,0.00995024875621886,0.029299812584384313,0.0,-0.0,-2.9404849803729842e-05,-0.0
2011-11-03,0.125,2.09,0.013627268548277005,0.01878180753005876,0.029556650246305383,0.0292722084994761,0.0,0.0,0.00025594473503416193,0.0017034085685346256
2011-11-04,-0.11111111111111105,2.06,0.010286017962773508,-0.006280017279460592,-0.014354066985645786,0.029244604414567887,0.0,0.0,-6.459637054305967e-05,-0.0011428908847526114
2011-11-07,0.0,2.04,0.023131162897690016,0.006295743615618132,-0.009708737864077666,0.029217000329659674,0.0,0.0,0.00014562787113495495,0.0
2011-11-08,0.0,2.1,0.003840803515914981,0.011735638864999398,0.02941176470588247,0.029189396244751493,0.0,0.0,4.5074283014198186e-05,0.0
2011-11-09,0.0,2.0,-0.02339132557744561,-0.036695142913972245,-0.04761904761904767,0.029161792159843283,0.0,-0.0,0.000858348035011621,-0.0
2011-11-10,0.0,2.04,0.012465511141592778,0.008624176874533207,0.020000000000000018,0.02913418807493507,0.0,0.0,0.00010750477291656047,0.0
2011-11-14,0.0,2.04,-0.0198844095974251,-0.009550141648312915,0.0,0.029106583990026857,0.0,-0.0,0.0001898989282484825,-0.0
2011-11-15,0.125,2.06,0.004468674615492496,0.004817163683512371,0.009803921568627416,0.02909129670400121,0.0,0.0,2.152633707118406e-05,0.000558584326936562
2011-11-16,-0.11111111111111105,2.01,-0.004537789296201744,-0.016616200730203312,-0.024271844660194275,0.029076009417975578,0.0,-0.0,7.54008178170562e-05,0.0005041988106890824
2011-11-17,0.0,1.96,-0.032713587080491546,-0.016799952076269054,-0.02487562189054715,0.02906072213194993,0.0,-0.0,0.0005495866951951124,-0.0
2011-11-18,0.0,2.01,-0.006098721628762238,-0.00039467858438069214,0.025510204081632626,0.02904543484592428,0.0,-0.0,2.4070348189717893e-06,-0.0
2011-11-22,0.0,1.94,0.013666802287740198,-0.022712116807524718,-0.03482587064676612,0.029030147559898634,0.0,0.0,-0.0003104020099445014,0.0
2011-11-23,0.125,1.89,-0.018435312838067652,-0.02209521492281885,-0.02577319587628868,0.029014860273872987,0.0,-0.0,0.00040733219932650636,-0.0023044141047584565
